Date,Close,High,Low,Open,Volume
2024-07-15,1200.8319091796875,1236.9549605775053,1184.125673176821,1232.0268531648458,31467
2024-07-16,1137.2593994140625,1192.6020734127287,1133.46478051623,1192.6020734127287,46722
2024-07-18,1118.1383056640625,1167.665787948829,1110.0562571784708,1160.0765502322397,68694
2024-07-19,1131.050048828125,1179.7889859617285,1099.066557596058,1118.1383103737667,113635
2024-07-22,1129.3253173828125,1172.3476054936405,1114.9351452613084,1115.7236906952767,35675
2024-07-23,1133.9576416015625,1141.8919435432558,1085.1693727973231,1112.3725046736295,18065
2024-07-24,1181.2181396484375,1182.7459012302472,1126.6640090172193,1139.08281691711,19990
2024-07-25,1247.796875,1275.3942782385466,1165.5960141478745,1181.2180915609542,90652
2024-07-26,1266.91796875,1308.4619412870857,1241.2424791589594,1245.8256434451025,76420
2024-07-29,1252.1336669921875,1308.9054453793494,1237.0536088403028,1269.4805825667186,51904
2024-07-30,1267.7064208984375,1294.1211272190612,1240.9468914049255,1251.739399518818,27047
2024-07-31,1257.1602783203125,1291.164221559866,1247.8462028633562,1267.509304523655,24572
2024-08-01,1275.4927978515625,1315.804742489742,1259.6736444848639,1281.3079889413218,46538
2024-08-02,1333.447509765625,1373.95653416322,1256.9139671389141,1275.4929105572185,105918
2024-08-05,1244.248779296875,1317.2833185757574,1227.3453441499903,1292.2485049191457,57858
2024-08-06,1351.43505859375,1360.1577855467292,1243.1152224788493,1243.1152224788493,127224
2024-08-07,1371.9359130859375,1409.4388624111123,1356.7081077684586,1374.9421070374137,102898
2024-08-08,1391.204833984375,1412.3463683513899,1370.0632996173604,1379.8701860277188,105074
2024-08-09,1438.36669921875,1447.8779706725097,1395.6400316353122,1414.366839969402,187007
2024-08-12,1451.9683837890625,1576.008829516297,1436.050571985769,1532.6414821124715,566603
2024-08-13,1463.352294921875,1534.6127824648913,1419.9849458991034,1448.8637059880477,213159
2024-08-14,1436.198486328125,1510.908528704941,1421.9561825364442,1485.331697240163,78365
2024-08-16,1465.76708984375,1487.3028963205545,1448.863656455411,1458.7198718054478,57892
2024-08-19,1442.0628662109375,1488.2885409839962,1435.114306470256,1473.4056796371824,33173
2024-08-20,1435.557861328125,1469.068995749791,1421.3156773249718,1442.6542887266585,30173
2024-08-21,1480.0587158203125,1497.1098974969113,1442.7529619170941,1442.7529619170941,62420
2024-08-22,1476.904541015625,1517.8571639215068,1460.740444093499,1488.2885178710878,46352
2024-08-23,1483.902587890625,1503.0728791079491,1470.5966968296693,1487.105857960855,30896
2024-08-26,1474.342041015625,1527.7134745274666,1447.385314415216,1483.3605026863468,39219
2024-08-27,1484.6417236328125,1526.7277138418476,1474.4897739879948,1474.4897739879948,48236
2024-08-28,1455.960205078125,1501.2495905861442,1448.8637775589937,1471.927347468879,37724
2024-08-29,1461.72607421875,1526.72776670887,1449.0115322793235,1462.6623665564641,103997
2024-08-30,1488.92919921875,1525.6436014790688,1476.5103919131848,1506.0297088259667,41848
2024-09-02,1485.43017578125,1517.8571480062267,1473.5041793956552,1496.1734744632806,35715
2024-09-03,1492.5267333984375,1514.0625398004463,1482.177707316842,1485.4301861819806,27878
2024-09-04,1565.4627685546875,1575.4175222265533,1471.2865805703234,1478.4323368651717,163310
2024-09-05,1598.4810791015625,1608.5343707929662,1568.0745580094072,1608.5343707929662,86735
2024-09-06,1533.3807373046875,1607.5487594690312,1517.462925096091,1607.5487594690312,50469
2024-09-09,1475.376953125,1526.7278128913065,1463.6480323715882,1526.7278128913065,47036
2024-09-10,1588.132080078125,1611.4419339009066,1487.795756365452,1487.795756365452,171000
2024-09-11,1603.2120361328125,1626.2262759364849,1552.3539867259603,1593.7500930386525,94591
2024-09-12,1575.768310546875,1614.0907274479307,1566.5710029246252,1601.1353022660483,24062
2024-09-13,1563.8017578125,1600.4923551475767,1557.6207231966403,1581.108654736907,16310
2024-09-16,1553.0220947265625,1570.6257305702063,1539.522690238282,1563.8018438342617,16166
2024-09-17,1518.4083251953125,1576.2134375348253,1511.139452106354,1565.1369502686275,17487
2024-09-18,1556.43408203125,1565.532517100935,1497.1950194947024,1518.408282950039,27442
2024-09-19,1512.2271728515625,1575.2737256005714,1481.5198654760443,1568.7465772253404,32541
2024-09-20,1526.5672607421875,1545.7037207660612,1481.6188229612278,1522.759767364949,24753
2024-09-23,1507.6285400390625,1530.9187278902948,1502.4859672786372,1530.9187278902948,8031
2024-09-24,1527.3089599609375,1576.4111248514482,1491.4589579058152,1507.6285208949755,20880
2024-09-25,1540.4127197265625,1561.576606685074,1526.9628123633656,1527.308926161916,15232
2024-09-26,1511.7822265625,1551.6374661734005,1503.4253951513422,1542.7862727058643,14779
2024-09-27,1531.9571533203125,1570.4773137014258,1505.2055865576638,1505.2055865576638,24744
2024-09-30,1499.9146728515625,1535.8635475830338,1483.5472441935867,1513.5623254379373,16541
2024-10-01,1500.4091796875,1521.0290882410281,1490.12391333366,1511.9306530376348,11451
2024-10-03,1492.3489990234375,1531.6603792164008,1479.3935746013663,1479.3935746013663,21662
2024-10-04,1529.18798828125,1557.4230031448308,1458.2792063298298,1488.3931591678456,27596
2024-10-07,1480.531005859375,1542.9347113313993,1449.8235755637265,1531.907720701373,19097
2024-10-08,1520.7818603515625,1531.907723417051,1464.8064312067502,1482.8550535129873,18180
2024-10-09,1550.154052734375,1592.2345865247205,1522.4630164469886,1522.4630164469886,35969
2024-10-10,1636.540283203125,1685.9885619955407,1554.901126627512,1561.82388565845,117523
2024-10-11,1608.6513671875,1650.385786550198,1593.322400898524,1644.6497379720854,26027
2024-10-14,1563.702880859375,1631.7931338451565,1550.2529737190148,1624.7220061204944,21320
2024-10-15,1544.121337890625,1582.443752966596,1532.995475449214,1571.5651319127721,16773
2024-10-16,1597.3277587890625,1605.0911143409924,1534.429572907798,1544.1213630249622,20680
2024-10-17,1549.5606689453125,1613.2500753760917,1539.769885722501,1613.2500753760917,14843
2024-10-18,1523.600341796875,1539.6710324021913,1493.3380193247624,1526.3199971300824,14139
2024-10-21,1479.59130859375,1532.402092158396,1475.5860706223011,1527.9517472634539,18207
2024-10-22,1451.0596923828125,1498.2333004755956,1428.0662435173156,1478.5034861900185,14753
2024-10-23,1486.9097900390625,1503.0299777215725,1439.4394409057902,1439.4394409057902,11260
2024-10-24,1476.9212646484375,1508.073681332426,1466.7348705862412,1494.3765317922296,8034
2024-10-25,1452.197021484375,1484.3384014990443,1422.7752967017161,1468.6138252856626,23665
2024-10-28,1480.1353759765625,1490.8161319258047,1439.7855315727438,1452.197098029647,14237
2024-10-29,1482.4593505859375,1503.0298821922738,1470.6412606234348,1480.3330505214844,7524
2024-10-30,1473.5091552734375,1531.4131358213026,1455.8067687192643,1480.6297795820983,52162
