Date,Close,High,Low,Open,Volume
2024-07-08,1379.105712890625,1392.3551385059513,1327.1716950483526,1335.0535862697875,2471142
2024-07-09,1365.7110595703125,1393.6122953065062,1342.3552157428387,1393.6122953065062,1317184
2024-07-10,1396.6103515625,1407.1035227235704,1353.9122128180559,1353.9606157767323,1822861
2024-07-11,1393.5157470703125,1407.1520422187568,1386.4074768599965,1402.8967134627017,1142834
2024-07-12,1396.4168701171875,1410.5367204300758,1389.7921583598927,1401.107352569813,697411
2024-07-15,1389.4537353515625,1411.6973749417352,1386.9392605743085,1402.2680059850316,521240
2024-07-16,1404.9759521484375,1423.5929110738255,1387.3261079724202,1392.5968361340913,1150984
2024-07-18,1417.0648193359375,1422.3839502053097,1392.6451730720014,1392.6451730720014,1177235
2024-07-19,1404.1536865234375,1428.3798359914902,1388.7281380925979,1417.789978531129,1206553
2024-07-22,1421.8038330078125,1429.589036238518,1393.370634553051,1404.1055851174801,917335
2024-07-23,1466.822998046875,1474.8500982631035,1410.3435870893436,1420.6916684252453,2713959
2024-07-24,1411.0689697265625,1469.8694817984438,1406.1849925095407,1466.8230464084206,1464579
2024-07-25,1431.42626953125,1436.6487118864288,1395.691432940647,1399.5114883180206,600745
2024-07-26,1419.2408447265625,1431.4264665283479,1413.0512869373397,1431.4264665283479,281948
2024-07-29,1429.298828125,1455.507612689134,1381.7167144048228,1426.3974840465498,1613938
2024-07-30,1392.4520263671875,1429.2990790203382,1389.9858362451994,1428.4286520328124,873206
2024-07-31,1393.37060546875,1404.6858010601504,1386.552399114956,1400.3821875542253,708336
2024-08-01,1421.900390625,1436.1653324795952,1389.0184907567802,1394.0474399848163,994920
2024-08-02,1411.165283203125,1441.919456453437,1399.6081929732281,1419.2406664504374,1637737
2024-08-05,1414.06689453125,1431.2814667249552,1379.5892291265948,1379.5892291265948,1000471
2024-08-06,1429.9757080078125,1449.5597798090332,1412.229177665805,1418.9505773085202,1712241
2024-08-07,1454.3472900390625,1459.3762397994014,1433.7476974835072,1445.3046721733663,705418
2024-08-08,1415.75927734375,1455.459266190267,1384.9566967938854,1454.3471786951836,2786418
2024-08-09,1397.2874755859375,1427.3647215083097,1394.6279099519397,1427.3647215083097,439759
2024-08-12,1346.8037109375,1397.4805374284538,1344.289236695883,1397.2871617390895,1775237
2024-08-13,1342.8388671875,1355.846513709191,1337.0361785284256,1351.0593427878557,612043
2024-08-14,1326.0108642578125,1346.9005169488328,1313.4867768453128,1343.2738370352533,1496512
2024-08-16,1363.818115234375,1367.603572890127,1320.7210329181605,1324.9433561797957,539291
2024-08-19,1362.458984375,1372.068486012776,1345.3754917345527,1370.5153442824894,371436
2024-08-20,1353.09228515625,1371.4376777128732,1338.0957215000774,1362.798829526094,839795
2024-08-21,1350.423095703125,1363.1386461681004,1347.2684685253819,1353.0923956227539,1228308
2024-08-22,1398.03369140625,1402.1103928167095,1350.665705506716,1362.7988864760541,1636721
2024-08-23,1386.4339599609375,1403.566030993989,1382.9882085018903,1401.6247225140528,638437
2024-08-26,1412.0595703125,1416.4760954839337,1380.3676786164604,1395.801108169359,833098
2024-08-27,1413.6126708984375,1418.36890169155,1393.0833043294567,1412.3993527618322,450900
2024-08-28,1434.1419677734375,1455.9331130526593,1407.5945919322382,1419.0968236106703,578675
2024-08-29,1433.3653564453125,1441.4218356492277,1408.4195848666866,1441.1305919235574,559455
2024-08-30,1437.7333984375,1443.799989064326,1422.1544648006698,1432.6860424312201,1311589
2024-09-02,1426.9105224609375,1448.0707169076486,1421.6689650975577,1444.9646702787263,295844
2024-09-03,1417.8834228515625,1436.3258565562894,1413.4668979112487,1426.861976102548,901067
2024-09-04,1432.0064697265625,1435.5492634614857,1407.060580797397,1412.3021382038116,517446
2024-09-05,1414.9228515625,1440.4025292037434,1410.3608233419684,1436.5684917729616,533903
2024-09-06,1401.091064453125,1412.7874975200305,1375.5143443790814,1410.846188694857,1537112
2024-09-09,1448.264892578125,1483.4025331930934,1383.328091867181,1402.5469771998012,2093470
2024-09-10,1458.9422607421875,1467.5325291759814,1438.2186928437256,1455.9817171886657,1399345
2024-09-11,1455.93310546875,1496.6035509170943,1451.3224967977249,1460.8349578721295,1299900
2024-09-12,1469.036865234375,1489.954515105521,1457.4375924631531,1464.4262568000095,1397079
2024-09-13,1447.537109375,1475.3948462477274,1434.627357075093,1475.3948462477274,2359062
2024-09-16,1413.6126708984375,1432.686055703492,1374.6408686530567,1432.686055703492,1635007
2024-09-17,1416.572998046875,1438.2185192028878,1406.6237908472863,1417.1553669658201,1373125
2024-09-18,1390.1226806640625,1421.6689477110963,1384.395796179446,1416.573012265037,632328
2024-09-19,1402.4500732421875,1414.0979267655828,1387.5991310927145,1397.063012080473,736187
2024-09-20,1413.855224609375,1426.3281103863862,1398.179131805511,1411.3315467790526,1885327
2024-09-23,1406.7694091796875,1421.96005509986,1399.7321650805104,1420.8923590031184,518082
2024-09-24,1403.906005859375,1418.3202003931128,1387.4048806113583,1404.245711210981,1514391
2024-09-25,1387.59912109375,1404.4884137904953,1366.7785119778573,1403.5663394551082,1325119
2024-09-26,1380.561767578125,1389.9770676382627,1365.9047916973389,1387.5504316961567,540524
2024-09-27,1347.8992919921875,1368.6227402839759,1304.1228010892328,1368.6227402839759,5207179
2024-09-30,1352.5098876953125,1365.7107640625497,1336.5911315665464,1347.9963209608145,1190628
2024-10-01,1347.5111083984375,1373.9614434993614,1328.8745894106405,1354.0630262674738,1233644
2024-10-03,1308.8304443359375,1347.2683356911807,1298.784194781103,1310.674711432556,2342173
2024-10-04,1303.8314208984375,1317.323539701572,1293.979255810821,1308.4420289380932,1760338
2024-10-07,1293.2513427734375,1315.770595539368,1286.1170567599706,1303.831499239872,1211273
2024-10-08,1266.267333984375,1303.6859926435488,1262.0934723755515,1279.3225891874463,2892445
2024-10-09,1294.270751953125,1310.917500556686,1264.76283104614,1269.6161036134697,4702906
2024-10-10,1278.109130859375,1315.5763655260434,1274.6632604798624,1305.4330748407897,958975
2024-10-11,1277.0899658203125,1286.1170992708069,1272.5279374671907,1286.1170992708069,1260411
2024-10-14,1274.080810546875,1288.834827000466,1268.3054648568123,1283.2049846649516,1117318
2024-10-15,1303.054931640625,1306.6464239576794,1275.4398617848844,1281.0697046126543,1817397
2024-10-16,1321.060546875,1326.4961874407938,1298.0075064721484,1307.6170080640052,1104389
2024-10-17,1307.7626953125,1324.7976086113576,1288.0583639770005,1321.060612940993,973342
2024-10-18,1296.9400634765625,1319.0709154888623,1293.8824780341504,1310.3836049108052,658127
2024-10-21,1274.9547119140625,1303.297776500467,1270.1014393144658,1296.9400604878558,413489
2024-10-22,1261.46240234375,1293.785240433949,1258.016650404554,1282.2344296711644,401153
2024-10-23,1254.42529296875,1267.6747503124373,1246.902720752118,1261.8508234350447,801772
2024-10-24,1218.268310546875,1260.2491132367597,1202.3495547310126,1256.997444702906,2392142
2024-10-25,1253.3575439453125,1289.8541271420554,1237.5844093167655,1250.202917019603,3223478
2024-10-28,1258.59912109375,1272.9162742858937,1239.040410153983,1252.1442452789956,911104
2024-10-29,1240.78759765625,1259.958022531205,1231.5178005113526,1253.939894009252,891549
2024-10-30,1261.8992919921875,1265.733329452273,1230.110360596818,1246.9511906307937,790627
2024-10-31,1250.303955078125,1285.967044631318,1244.5061917876565,1275.3948066782436,858307
2024-11-01,1242.4598388671875,1260.38885761581,1218.00237496696,1254.786046690962,40519
2024-11-04,1239.5855712890625,1249.670608551418,1232.6673406370712,1242.3625932967311,409220
2024-11-05,1233.83642578125,1247.7704207542736,1224.336007102974,1245.2856482909674,499852
2024-11-06,1242.5087890625,1249.9142208010335,1233.6417542592994,1237.4905947513644,518986
2024-11-07,1226.284912109375,1280.3642228936978,1223.3617061210332,1242.5087291337832,589272
2024-11-08,1219.025634765625,1230.1337220910468,1210.9868184958548,1227.7952525144653,878571
2024-11-11,1189.5985107421875,1218.0023493173771,1181.4622788378558,1218.0023493173771,555580
2024-11-12,1146.0916748046875,1190.9629380058805,1142.1454177621897,1189.598751309663,2993508
2024-11-13,1153.594482421875,1159.0023418302965,1136.4450320392334,1145.9454509696072,1208369
2024-11-14,1145.0198974609375,1163.728489369511,1132.4988541169878,1154.0331169925203,1131043
